"","state","num_gun_laws"
"1","Alaska",3
"2","Alabama",10
"3","Arkansas",11
"4","Arizona",8
"5","California",106
"6","Colorado",30
"7","Connecticut",92
"8","Delaware",40
"9","Florida",21
"10","Georgia",6
"11","Hawaii",81
"12","Iowa",24
"13","Idaho",2
"14","Illinois",65
"15","Indiana",12
"16","Kansas",4
"17","Kentucky",7
"18","Louisiana",13
"19","Massachusetts",101
"20","Maryland",66
"21","Maine",11
"22","Michigan",21
"23","Minnesota",41
"24","Missouri",2
"25","Mississippi",2
"26","Montana",4
"27","North Carolina",30
"28","North Dakota",10
"29","Nebraska",22
"30","New Hampshire",9
"31","New Jersey",75
"32","New Mexico",10
"33","Nevada",21
"34","New York",75
"35","Ohio",16
"36","Oklahoma",9
"37","Oregon",35
"38","Pennsylvania",37
"39","Rhode Island",53
"40","South Carolina",12
"41","South Dakota",5
"42","Tennessee",22
"43","Texas",18
"44","Utah",13
"45","Virginia",13
"46","Vermont",6
"47","Washington",43
"48","Wisconsin",23
"49","West Virginia",18
"50","Wyoming",6
